epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51596.2,0.5189,0.38948,0.83349,0.74974,0.50388,0.55336,0.43205,1.36713,1.87625,1.52339,0.000462281,0.000462281,0.000462281
43,52641.5,0.52839,0.38372,0.83697,0.70518,0.50672,0.5388,0.41977,1.38823,2.07141,1.52153,0.000438703,0.000438703,0.000438703
44,53662.9,0.52103,0.38751,0.82744,0.74534,0.50985,0.53402,0.41943,1.42712,2.08258,1.58774,0.000415124,0.000415124,0.000415124
45,54681.7,0.51373,0.37703,0.82877,0.76935,0.51919,0.54281,0.42918,1.41619,2.27033,1.58823,0.000391546,0.000391546,0.000391546
46,55671.3,0.50574,0.37361,0.82614,0.71228,0.53796,0.54744,0.44077,1.39611,2.30162,1.56124,0.000367967,0.000367967,0.000367967
47,56664.7,0.5053,0.3681,0.82556,0.75405,0.51087,0.5411,0.43137,1.36945,2.31653,1.55415,0.000344389,0.000344389,0.000344389
48,57655.2,0.51282,0.38605,0.82436,0.73398,0.51495,0.54171,0.43018,1.3697,2.29612,1.56181,0.00032081,0.00032081,0.00032081
49,58638.5,0.51486,0.36161,0.8367,0.76273,0.51139,0.53976,0.42964,1.35058,2.33788,1.51522,0.000297232,0.000297232,0.000297232
50,59634.9,0.50952,0.35073,0.82612,0.73738,0.51707,0.53653,0.42939,1.33276,2.25813,1.48316,0.000273654,0.000273654,0.000273654
51,60617.3,0.46561,0.35002,0.81189,0.80194,0.49333,0.53272,0.42132,1.33419,2.23007,1.47168,0.000250075,0.000250075,0.000250075
52,61605.2,0.46605,0.33914,0.80476,0.82392,0.50182,0.54083,0.42674,1.31301,2.24227,1.42499,0.000226497,0.000226497,0.000226497
53,62586.1,0.45576,0.34252,0.79832,0.75559,0.54744,0.54649,0.4327,1.32611,2.23396,1.45507,0.000202918,0.000202918,0.000202918
54,63585.9,0.46239,0.32919,0.80078,0.7467,0.56164,0.5415,0.43056,1.32463,2.24903,1.46626,0.00017934,0.00017934,0.00017934
55,64631.6,0.44823,0.31971,0.80037,0.80044,0.53515,0.52974,0.41365,1.35095,2.30195,1.46352,0.000155761,0.000155761,0.000155761
56,65679.9,0.45289,0.31701,0.80391,0.79197,0.54203,0.52993,0.41596,1.31066,2.28703,1.43691,0.000132183,0.000132183,0.000132183
57,66706.2,0.44193,0.30163,0.80805,0.79206,0.54851,0.53771,0.42542,1.33132,2.27414,1.45339,0.000108604,0.000108604,0.000108604
58,67700,0.44246,0.32239,0.81224,0.78566,0.5594,0.54232,0.43023,1.36256,2.25932,1.49739,8.50255e-05,8.50255e-05,8.50255e-05
59,68642.2,0.43436,0.32065,0.8036,0.80635,0.54774,0.54694,0.43133,1.35833,2.23251,1.50803,6.1447e-05,6.1447e-05,6.1447e-05
60,69638.7,0.43172,0.30578,0.79853,0.78444,0.54912,0.54848,0.43148,1.36335,2.23249,1.50643,3.78685e-05,3.78685e-05,3.78685e-05
